Flavour,Systematic,Nominal yield,Systematic yield (up),Systematic yield (down),Renorm. value (up),Renorm. value (down)
tt_light,muR,15640.02783061904,15575.917067750313,15704.61617272824,1.0041160185040705,0.9958873020901102
tt_light,muF,15640.02783061904,15586.476171316535,15751.263891687013,1.0034357771900395,0.9929379596562609
tt_light,ISR,15640.02783061904,15839.414375570941,15502.804476738474,0.9874120002025193,1.0088515180647775
tt_light,FSR,15640.02783061904,13779.01187097065,16740.17233104778,1.1350616413626249,0.9342811723396469
tt_light,PH7,15640.02783061904,16874.943004176264,N/A,0.9268195943979424,N/A
tt_light,hdamp,15640.02783061904,15972.313946565928,N/A,0.9791961191685485,N/A
tt_light,pthard,15640.02783061904,15558.55351656486,N/A,1.0052366252407356,N/A
tt_light,AFII_5FS,15640.02783061904,15547.529694024188,N/A,1.0059493783523954,N/A
tt_1c,muR,11672.476979734874,11464.083421759153,11673.081002827912,1.0181779519835126,0.9999482550414162
tt_1c,muF,11672.476979734874,11519.461692259954,11659.84734852215,1.0132831977363779,1.0010831729468848
tt_1c,ISR,11672.476979734874,11809.51416984208,11382.015677388259,0.9883960349141917,1.0255193201783803
tt_1c,FSR,11672.476979734874,12067.63783215166,10919.491520157913,0.9672544985263012,1.0689579233782922
tt_1c,PH7,11672.476979734874,11345.060152748436,N/A,1.028859858174231,N/A
tt_1c,hdamp,11672.476979734874,12037.392460783549,N/A,0.9696848397825754,N/A
tt_1c,pthard,11672.476979734874,11485.999579169296,N/A,1.0162351913109737,N/A
tt_1c,AFII_5FS,11672.476979734874,11647.505795657598,N/A,1.0021439082766188,N/A
