Flavour,Systematic,Nominal yield,Systematic yield (up),Systematic yield (down),Renorm. value (up),Renorm. value (down)
tt_1b,muR,26639.77435084658,25669.63883278237,29309.724747161847,1.0377931113243892,0.9089056475505181
tt_1b,muF,26639.77435084658,26182.673211731824,27122.364461835787,1.017458153925625,0.9822069306800936
tt_1b,ISR,26639.77435084658,26701.200028974035,26579.92248922685,0.9976995161992419,1.0022517696070778
tt_1b,FSR,26639.77435084658,27673.61724169546,25164.487117278957,0.9626415700622178,1.0586257620388626
tt_1b,PH7,26639.77435084658,27390.554976294337,N/A,0.9725897987062497,N/A
tt_1b,pthard,26639.77435084658,25174.62978201733,N/A,1.0581992498605015,N/A
tt_1b,dipolePS,26639.77435084658,26561.258735361276,N/A,1.0029560201294516,N/A
tt_1b,AFII_4FS,26639.77435084658,26762.677698896838,N/A,0.9954076587764115,N/A
tt_1b,AFII_4FS_bzd2,26639.77435084658,25516.977982811346,N/A,1.0440019334888155,N/A
